datetime,station,line,pax_pagos,pax_pases_pagos,pax_franq,pax_TOTAL
2024-03-26 11:00:00,Pueyrredon.D,D,519,0,35,554
2024-03-27 08:00:00,Pueyrredon.D,D,430,0,25,455
2024-03-27 09:00:00,Pueyrredon.D,D,504,1,27,532
2024-03-27 10:00:00,Pueyrredon.D,D,482,0,26,508
2024-03-27 11:00:00,Pueyrredon.D,D,492,1,29,522
2024-03-28 08:00:00,Pueyrredon.D,D,134,0,1,135
2024-03-28 09:00:00,Pueyrredon.D,D,133,0,9,142
2024-03-28 10:00:00,Pueyrredon.D,D,155,0,10,165
2024-03-28 11:00:00,Pueyrredon.D,D,229,0,11,240
2024-03-29 08:00:00,Pueyrredon.D,D,46,0,1,47
2024-03-29 09:00:00,Pueyrredon.D,D,71,0,4,75
2024-03-29 10:00:00,Pueyrredon.D,D,97,0,2,99
2024-03-29 11:00:00,Pueyrredon.D,D,152,1,1,154
2024-03-30 08:00:00,Pueyrredon.D,D,51,0,1,52
2024-03-30 09:00:00,Pueyrredon.D,D,106,0,6,112
2024-03-30 10:00:00,Pueyrredon.D,D,147,0,9,156
2024-03-30 11:00:00,Pueyrredon.D,D,163,0,12,175
2024-03-31 08:00:00,Pueyrredon.D,D,18,0,0,18
2024-03-31 09:00:00,Pueyrredon.D,D,43,0,1,44
2024-03-31 10:00:00,Pueyrredon.D,D,75,0,0,75
2024-03-31 11:00:00,Pueyrredon.D,D,125,0,5,130
