date,hour,station,line,pax_TOTAL
2024-03-03,19,Hospitales,H,173
2024-03-03,19,Humberto I,H,115
2024-03-03,19,Inclan,H,81
2024-03-03,19,Independencia,C,155
2024-03-03,19,Independencia.H,E,50
2024-03-03,19,Jose Maria Moreno,E,167
2024-03-03,19,Jujuy,E,48
2024-03-03,19,Las Heras,H,310
2024-03-03,19,Lavalle,C,105
2024-03-03,19,Leandro N. Alem,B,418
2024-03-03,19,Lima,A,173
2024-03-03,19,Loria,A,106
2024-03-03,19,Los Incas,B,176
2024-03-03,19,Malabia,B,415
2024-03-03,19,Mariano Moreno,C,30
2024-03-03,19,Medalla Milagrosa,E,40
2024-03-03,19,Medrano,B,346
2024-03-03,19,Ministro Carranza,D,1
2024-03-03,19,Once,H,261
2024-03-03,19,Pasco,A,36
2024-03-03,19,Pasteur,B,132
2024-03-03,19,Patricios,H,159
2024-03-03,19,Peru,A,123
2024-03-03,19,Pichincha,E,69
2024-03-03,19,Piedras,A,53
2024-03-03,19,Plaza Miserere,A,179
2024-03-03,19,Plaza de Mayo,A,491
2024-03-03,19,Primera Junta,A,180
2024-03-03,19,Puan,A,118
2024-03-03,19,Pueyrredon,B,147
2024-03-03,19,Pza. de los Virreyes,E,122
2024-03-03,19,Retiro,C,1086
2024-03-03,19,Retiro E,E,152
2024-03-03,19,Rio de Janeiro,A,212
2024-03-03,19,Rosas,B,478
2024-03-03,19,Saenz Pena ,A,91
2024-03-03,19,San Jose,E,44
2024-03-03,19,San Juan,C,87
2024-03-03,19,San Pedrito,A,250
2024-03-03,19,Santa Fe,H,238
2024-03-03,19,Tronador,B,70
2024-03-03,19,Urquiza,E,67
2024-03-03,19,Uruguay,B,253
2024-03-03,19,Varela,E,44
2024-03-03,19,Venezuela,H,116
2024-03-03,20,Acoyte,A,332
2024-03-03,20,Alberti,A,69
2024-03-03,20,Angel Gallardo,B,384
2024-03-03,20,Avenida La Plata,E,108
2024-03-03,20,Avenida de Mayo,C,69
2024-03-03,20,Boedo,E,113
2024-03-03,20,Bolivar,E,96
2024-03-03,20,Callao.B,B,356
2024-03-03,20,Carabobo,A,146
2024-03-03,20,Carlos Gardel,B,692
2024-03-03,20,Carlos Pellegrini,B,609
2024-03-03,20,Caseros,H,77
2024-03-03,20,Castro Barros,A,129
2024-03-03,20,Catalinas,E,29
2024-03-03,20,Catedral,D,2
2024-03-03,20,Congreso,A,192
2024-03-03,20,Constitucion,C,696
2024-03-03,20,Cordoba,H,116
2024-03-03,20,Correo Central,E,289
2024-03-03,20,Corrientes,H,54
2024-03-03,20,Diagonal Norte,C,56
2024-03-03,20,Dorrego,B,359
2024-03-03,20,Echeverria,B,100
2024-03-03,20,Emilio Mitre,E,104
2024-03-03,20,Entre Rios,E,85
2024-03-03,20,Facultad de Derecho,H,191
2024-03-03,20,Federico Lacroze,B,401
2024-03-03,20,Flores,A,115
2024-03-03,20,Florida,B,187
2024-03-03,20,General Belgrano,E,38
2024-03-03,20,General San Martin,C,76
2024-03-03,20,Hospitales,H,123
2024-03-03,20,Humberto I,H,100
2024-03-03,20,Inclan,H,72
2024-03-03,20,Independencia,C,127
2024-03-03,20,Independencia.H,E,55
2024-03-03,20,Jose Maria Moreno,E,99
2024-03-03,20,Jujuy,E,60
2024-03-03,20,Las Heras,H,268
2024-03-03,20,Lavalle,C,127
2024-03-03,20,Leandro N. Alem,B,397
2024-03-03,20,Lima,A,99
2024-03-03,20,Loria,A,112
2024-03-03,20,Los Incas,B,142
2024-03-03,20,Malabia,B,272
2024-03-03,20,Mariano Moreno,C,39
2024-03-03,20,Medalla Milagrosa,E,44
2024-03-03,20,Medrano,B,372
2024-03-03,20,Once,H,207
2024-03-03,20,Pasco,A,29
2024-03-03,20,Pasteur,B,115
2024-03-03,20,Patricios,H,91
2024-03-03,20,Peru,A,101
2024-03-03,20,Pichincha,E,37
2024-03-03,20,Piedras,A,58
2024-03-03,20,Plaza Miserere,A,174
2024-03-03,20,Plaza de Mayo,A,404
2024-03-03,20,Primera Junta,A,125
2024-03-03,20,Puan,A,88
2024-03-03,20,Pueyrredon,B,126
2024-03-03,20,Pza. de los Virreyes,E,70
2024-03-03,20,Retiro,C,1011
2024-03-03,20,Retiro E,E,140
2024-03-03,20,Rio de Janeiro,A,179
2024-03-03,20,Rosas,B,358
2024-03-03,20,Saenz Pena ,A,96
2024-03-03,20,San Jose,E,31
2024-03-03,20,San Juan,C,61
2024-03-03,20,San Pedrito,A,170
2024-03-03,20,Santa Fe,H,271
2024-03-03,20,Tronador,B,60
2024-03-03,20,Urquiza,E,53
2024-03-03,20,Uruguay,B,246
2024-03-03,20,Varela,E,43
2024-03-03,20,Venezuela,H,93
2024-03-03,21,9 de julio,D,1
2024-03-03,21,Acoyte,A,162
2024-03-03,21,Alberti,A,38
2024-03-03,21,Angel Gallardo,B,208
2024-03-03,21,Avenida La Plata,E,75
2024-03-03,21,Avenida de Mayo,C,58
2024-03-03,21,Boedo,E,88
2024-03-03,21,Bolivar,E,73
2024-03-03,21,Callao,D,1
2024-03-03,21,Callao.B,B,236
2024-03-03,21,Carabobo,A,80
2024-03-03,21,Carlos Gardel,B,548
2024-03-03,21,Carlos Pellegrini,B,324
2024-03-03,21,Caseros,H,47
2024-03-03,21,Castro Barros,A,93
2024-03-03,21,Catalinas,E,25
2024-03-03,21,Catedral,D,1
2024-03-03,21,Congreso,A,156
2024-03-03,21,Constitucion,C,413
2024-03-03,21,Cordoba,H,75
2024-03-03,21,Correo Central,E,251
2024-03-03,21,Corrientes,H,45
2024-03-03,21,Diagonal Norte,C,28
2024-03-03,21,Dorrego,B,215
2024-03-03,21,Echeverria,B,34
2024-03-03,21,Emilio Mitre,E,61
2024-03-03,21,Entre Rios,E,70
2024-03-03,21,Facultad de Derecho,H,63
2024-03-03,21,Federico Lacroze,B,235
2024-03-03,21,Flores,A,75
2024-03-03,21,Florida,B,105
2024-03-03,21,General Belgrano,E,25
2024-03-03,21,General San Martin,C,26
2024-03-03,21,Hospitales,H,58
2024-03-03,21,Humberto I,H,61
2024-03-03,21,Inclan,H,47
2024-03-03,21,Independencia,C,105
2024-03-03,21,Independencia.H,E,46
2024-03-03,21,Jose Maria Moreno,E,44
2024-03-03,21,Jujuy,E,44
2024-03-03,21,Las Heras,H,126
2024-03-03,21,Lavalle,C,78
2024-03-03,21,Leandro N. Alem,B,224
2024-03-03,21,Lima,A,124
2024-03-03,21,Loria,A,105
2024-03-03,21,Los Incas,B,91
2024-03-03,21,Malabia,B,193
2024-03-03,21,Mariano Moreno,C,17
2024-03-03,21,Medalla Milagrosa,E,27
2024-03-03,21,Medrano,B,188
2024-03-03,21,Once,H,164
2024-03-03,21,Pasco,A,12
2024-03-03,21,Pasteur,B,46
2024-03-03,21,Patricios,H,72
2024-03-03,21,Peru,A,60
2024-03-03,21,Pichincha,E,36
2024-03-03,21,Piedras,A,60
2024-03-03,21,Plaza Miserere,A,149
2024-03-03,21,Plaza de Mayo,A,204
2024-03-03,21,Primera Junta,A,105
2024-03-03,21,Puan,A,50
2024-03-03,21,Pueyrredon,B,80
2024-03-03,21,Pza. de los Virreyes,E,54
2024-03-03,21,Retiro,C,827
2024-03-03,21,Retiro E,E,101
2024-03-03,21,Rio de Janeiro,A,92
2024-03-03,21,Rosas,B,226
2024-03-03,21,Saenz Pena ,A,73
2024-03-03,21,San Jose,E,28
2024-03-03,21,San Juan,C,65
2024-03-03,21,San Pedrito,A,92
2024-03-03,21,Santa Fe,H,185
2024-03-03,21,Tronador,B,73
2024-03-03,21,Urquiza,E,32
2024-03-03,21,Uruguay,B,232
2024-03-03,21,Varela,E,10
2024-03-03,21,Venezuela,H,72
2024-03-03,22,Acoyte,A,54
2024-03-03,22,Alberti,A,24
2024-03-03,22,Angel Gallardo,B,32
2024-03-03,22,Avenida La Plata,E,9
2024-03-03,22,Avenida de Mayo,C,30
2024-03-03,22,Boedo,E,7
2024-03-03,22,Bolivar,E,21
2024-03-03,22,Callao.B,B,103
2024-03-03,22,Carabobo,A,16
2024-03-03,22,Carlos Gardel,B,316
2024-03-03,22,Carlos Pellegrini,B,150
2024-03-03,22,Caseros,H,17
2024-03-03,22,Castro Barros,A,31
2024-03-03,22,Catalinas,E,2
2024-03-03,22,Congreso,A,79
2024-03-03,22,Constitucion,C,150
2024-03-03,22,Cordoba,H,37
2024-03-03,22,Correo Central,E,52
2024-03-03,22,Corrientes,H,17
2024-03-03,22,Diagonal Norte,C,8
2024-03-03,22,Dorrego,B,99
2024-03-03,22,Entre Rios,E,19
2024-03-03,22,Facultad de Derecho,H,26
2024-03-03,22,Federico Lacroze,B,33
2024-03-03,22,Flores,A,4
2024-03-03,22,Florida,B,28
2024-03-03,22,General Belgrano,E,7
2024-03-03,22,General San Martin,C,13
2024-03-03,22,Hospitales,H,9
2024-03-03,22,Humberto I,H,36
2024-03-03,22,Inclan,H,16
2024-03-03,22,Independencia,C,28
2024-03-03,22,Independencia.H,E,25
2024-03-03,22,Jose Maria Moreno,E,5
2024-03-03,22,Jujuy,E,11
2024-03-03,22,Las Heras,H,48
2024-03-03,22,Lavalle,C,19
2024-03-03,22,Leandro N. Alem,B,66
2024-03-03,22,Lima,A,84
2024-03-03,22,Loria,A,37
2024-03-03,22,Los Incas,B,4
2024-03-03,22,Malabia,B,38
2024-03-03,22,Mariano Moreno,C,9
2024-03-03,22,Medalla Milagrosa,E,2
2024-03-03,22,Medrano,B,58
2024-03-03,22,Ministro Carranza,D,2
2024-03-03,22,Once,H,90
2024-03-03,22,Pasco,A,6
2024-03-03,22,Pasteur,B,15
2024-03-03,22,Patricios,H,20
2024-03-03,22,Peru,A,29
2024-03-03,22,Pichincha,E,9
2024-03-03,22,Piedras,A,27
2024-03-03,22,Plaza Italia,D,1
2024-03-03,22,Plaza Miserere,A,64
2024-03-03,22,Plaza de Mayo,A,96
2024-03-03,22,Primera Junta,A,21
2024-03-03,22,Puan,A,12
2024-03-03,22,Pueyrredon,B,32
2024-03-03,22,Pza. de los Virreyes,E,2
2024-03-03,22,Retiro,C,199
2024-03-03,22,Retiro E,E,17
2024-03-03,22,Rio de Janeiro,A,30
2024-03-03,22,Rosas,B,1
2024-03-03,22,Saenz Pena ,A,30
2024-03-03,22,San Jose,E,20
2024-03-03,22,San Juan,C,19
2024-03-03,22,San Pedrito,A,2
2024-03-03,22,Santa Fe,H,64
2024-03-03,22,Tronador,B,11
2024-03-03,22,Urquiza,E,10
2024-03-03,22,Uruguay,B,76
2024-03-03,22,Venezuela,H,23
2024-03-04,5,9 de julio,D,5
2024-03-04,5,Acoyte,A,55
2024-03-04,5,Alberti,A,9
2024-03-04,5,Angel Gallardo,B,36
2024-03-04,5,Avenida La Plata,E,22
2024-03-04,5,Avenida de Mayo,C,20
2024-03-04,5,Boedo,E,35
2024-03-04,5,Bolivar,E,12
2024-03-04,5,Callao,D,5
2024-03-04,5,Callao.B,B,31
2024-03-04,5,Carabobo,A,44
2024-03-04,5,Carlos Gardel,B,32
2024-03-04,5,Carlos Pellegrini,B,60
2024-03-04,5,Caseros,H,48
2024-03-04,5,Castro Barros,A,21
2024-03-04,5,Catalinas,E,7
2024-03-04,5,Congreso,A,27
2024-03-04,5,Congreso de Tucuman,D,10
2024-03-04,5,Constitucion,C,1603
2024-03-04,5,Cordoba,H,16
2024-03-04,5,Correo Central,E,20
2024-03-04,5,Corrientes,H,4
2024-03-04,5,Diagonal Norte,C,6
2024-03-04,5,Dorrego,B,67
2024-03-04,5,Echeverria,B,19
2024-03-04,5,Emilio Mitre,E,16
2024-03-04,5,Entre Rios,E,30
2024-03-04,5,Facultad de Derecho,H,2
2024-03-04,5,Federico Lacroze,B,308
2024-03-04,5,Flores,A,60
2024-03-04,5,Florida,B,13
2024-03-04,5,General Belgrano,E,8
2024-03-04,5,General San Martin,C,12
2024-03-04,5,Hospitales,H,103
2024-03-04,5,Humberto I,H,16
2024-03-04,5,Inclan,H,43
2024-03-04,5,Independencia,C,22
2024-03-04,5,Independencia.H,E,19
2024-03-04,5,Jose Hernandez,D,4
2024-03-04,5,Jose Maria Moreno,E,17
2024-03-04,5,Jujuy,E,14
2024-03-04,5,Las Heras,H,14
2024-03-04,5,Lavalle,C,9
2024-03-04,5,Leandro N. Alem,B,118
2024-03-04,5,Lima,A,17
2024-03-04,5,Loria,A,31
2024-03-04,5,Los Incas,B,39
2024-03-04,5,Malabia,B,32
2024-03-04,5,Mariano Moreno,C,10
2024-03-04,5,Medalla Milagrosa,E,12
2024-03-04,5,Medrano,B,44
2024-03-04,5,Ministro Carranza,D,6
2024-03-04,5,Once,H,78
2024-03-04,5,Pasco,A,10
2024-03-04,5,Pasteur,B,21
2024-03-04,5,Patricios,H,85
2024-03-04,5,Peru,A,7
2024-03-04,5,Pichincha,E,16
2024-03-04,5,Piedras,A,8
2024-03-04,5,Plaza Italia,D,1
2024-03-04,5,Plaza Miserere,A,105
2024-03-04,5,Plaza de Mayo,A,36
2024-03-04,5,Primera Junta,A,105
2024-03-04,5,Puan,A,10
2024-03-04,5,Pueyrredon,B,54
2024-03-04,5,Pueyrredon.D,D,1
2024-03-04,5,Pza. de los Virreyes,E,167
2024-03-04,5,Retiro,C,263
2024-03-04,5,Retiro E,E,35
2024-03-04,5,Rio de Janeiro,A,30
2024-03-04,5,Rosas,B,219
2024-03-04,5,Saenz Pena ,A,20
2024-03-04,5,San Jose,E,19
2024-03-04,5,San Juan,C,21
2024-03-04,5,San Pedrito,A,158
2024-03-04,5,Santa Fe,H,12
2024-03-04,5,Tronador,B,13
2024-03-04,5,Urquiza,E,27
2024-03-04,5,Uruguay,B,18
2024-03-04,5,Varela,E,24
2024-03-04,5,Venezuela,H,37
2024-03-04,6,9 de julio,D,5
2024-03-04,6,Acoyte,A,265
2024-03-04,6,Alberti,A,59
2024-03-04,6,Angel Gallardo,B,235
2024-03-04,6,Avenida La Plata,E,123
2024-03-04,6,Avenida de Mayo,C,57
2024-03-04,6,Boedo,E,141
2024-03-04,6,Bolivar,E,28
2024-03-04,6,Bulnes,D,1
2024-03-04,6,Callao.B,B,114
2024-03-04,6,Carabobo,A,211
2024-03-04,6,Carlos Gardel,B,128
2024-03-04,6,Carlos Pellegrini,B,158
2024-03-04,6,Caseros,H,159
2024-03-04,6,Castro Barros,A,159
2024-03-04,6,Catalinas,E,16
2024-03-04,6,Congreso,A,146
2024-03-04,6,Congreso de Tucuman,D,1
2024-03-04,6,Constitucion,C,6149
2024-03-04,6,Cordoba,H,84
2024-03-04,6,Correo Central,E,86
2024-03-04,6,Corrientes,H,38
2024-03-04,6,Diagonal Norte,C,21
2024-03-04,6,Dorrego,B,282
2024-03-04,6,Echeverria,B,201
2024-03-04,6,Emilio Mitre,E,146
2024-03-04,6,Entre Rios,E,120
2024-03-04,6,Facultad de Derecho,H,26
2024-03-04,6,Federico Lacroze,B,1060
2024-03-04,6,Flores,A,387
2024-03-04,6,Florida,B,45
2024-03-04,6,General Belgrano,E,36
2024-03-04,6,General San Martin,C,33
2024-03-04,6,Hospitales,H,742
2024-03-04,6,Humberto I,H,122
2024-03-04,6,Inclan,H,145
2024-03-04,6,Independencia,C,108
2024-03-04,6,Independencia.H,E,117
2024-03-04,6,Jose Maria Moreno,E,130
2024-03-04,6,Jujuy,E,64
2024-03-04,6,Juramento,D,1
2024-03-04,6,Las Heras,H,99
2024-03-04,6,Lavalle,C,50
2024-03-04,6,Leandro N. Alem,B,476
2024-03-04,6,Lima,A,78
2024-03-04,6,Loria,A,122
2024-03-04,6,Los Incas,B,246
2024-03-04,6,Malabia,B,238
2024-03-04,6,Mariano Moreno,C,30
2024-03-04,6,Medalla Milagrosa,E,63
2024-03-04,6,Medrano,B,197
2024-03-04,6,Ministro Carranza,D,3
2024-03-04,6,Olleros,D,1
2024-03-04,6,Once,H,507
2024-03-04,6,Pasco,A,43
2024-03-04,6,Pasteur,B,65
2024-03-04,6,Patricios,H,420
2024-03-04,6,Peru,A,55
2024-03-04,6,Pichincha,E,83
2024-03-04,6,Piedras,A,26
2024-03-04,6,Plaza Italia,D,4
2024-03-04,6,Plaza Miserere,A,632
2024-03-04,6,Plaza de Mayo,A,226
2024-03-04,6,Primera Junta,A,369
2024-03-04,6,Puan,A,135
2024-03-04,6,Pueyrredon,B,263
2024-03-04,6,Pueyrredon.D,D,4
2024-03-04,6,Pza. de los Virreyes,E,571
2024-03-04,6,Retiro,C,1079
2024-03-04,6,Retiro E,E,119
2024-03-04,6,Rio de Janeiro,A,160
2024-03-04,6,Rosas,B,1233
2024-03-04,6,Saenz Pena ,A,61
2024-03-04,6,San Jose,E,61
2024-03-04,6,San Juan,C,63
2024-03-04,6,San Pedrito,A,939
2024-03-04,6,Santa Fe,H,127
2024-03-04,6,Tronador,B,91
2024-03-04,6,Urquiza,E,120
2024-03-04,6,Uruguay,B,92
2024-03-04,6,Varela,E,118
2024-03-04,6,Venezuela,H,120
2024-03-04,7,9 de julio,D,5
2024-03-04,7,Acoyte,A,947
2024-03-04,7,Alberti,A,190
2024-03-04,7,Angel Gallardo,B,886
2024-03-04,7,Avenida La Plata,E,524
2024-03-04,7,Avenida de Mayo,C,103
2024-03-04,7,Boedo,E,387
2024-03-04,7,Bolivar,E,74
2024-03-04,7,Bulnes,D,1
2024-03-04,7,Callao,D,5
2024-03-04,7,Callao.B,B,350
2024-03-04,7,Carabobo,A,976
2024-03-04,7,Carlos Gardel,B,344
2024-03-04,7,Carlos Pellegrini,B,442
2024-03-04,7,Caseros,H,505
2024-03-04,7,Castro Barros,A,520
2024-03-04,7,Catalinas,E,40
2024-03-04,7,Congreso,A,361
2024-03-04,7,Congreso de Tucuman,D,2
2024-03-04,7,Constitucion,C,8060
2024-03-04,7,Cordoba,H,256
2024-03-04,7,Correo Central,E,119
2024-03-04,7,Corrientes,H,116
2024-03-04,7,Diagonal Norte,C,36
2024-03-04,7,Dorrego,B,694
2024-03-04,7,Echeverria,B,630
2024-03-04,7,Emilio Mitre,E,401
2024-03-04,7,Entre Rios,E,319
2024-03-04,7,Facultad de Derecho,H,57
2024-03-04,7,Federico Lacroze,B,2532
2024-03-04,7,Flores,A,1125
2024-03-04,7,Florida,B,127
2024-03-04,7,General Belgrano,E,81
2024-03-04,7,General San Martin,C,61
2024-03-04,7,Hospitales,H,1814
2024-03-04,7,Humberto I,H,432
2024-03-04,7,Inclan,H,506
2024-03-04,7,Independencia,C,254
2024-03-04,7,Independencia.H,E,150
2024-03-04,7,Jose Maria Moreno,E,423
2024-03-04,7,Jujuy,E,168
2024-03-04,7,Juramento,D,3
2024-03-04,7,Las Heras,H,386
2024-03-04,7,Lavalle,C,88
2024-03-04,7,Leandro N. Alem,B,796
2024-03-04,7,Lima,A,183
2024-03-04,7,Loria,A,531
2024-03-04,7,Los Incas,B,730
2024-03-04,7,Malabia,B,900
2024-03-04,7,Mariano Moreno,C,68
2024-03-04,7,Medalla Milagrosa,E,203
2024-03-04,7,Medrano,B,836
2024-03-04,7,Ministro Carranza,D,7
2024-03-04,7,Once,H,834
2024-03-04,7,Pasco,A,107
2024-03-04,7,Pasteur,B,244
2024-03-04,7,Patricios,H,684
2024-03-04,7,Peru,A,85
2024-03-04,7,Pichincha,E,209
2024-03-04,7,Piedras,A,99
2024-03-04,7,Plaza Italia,D,1
2024-03-04,7,Plaza Miserere,A,927
2024-03-04,7,Plaza de Mayo,A,358
2024-03-04,7,Primera Junta,A,1167
2024-03-04,7,Puan,A,600
2024-03-04,7,Pueyrredon,B,402
2024-03-04,7,Pueyrredon.D,D,2
2024-03-04,7,Pza. de los Virreyes,E,1035
2024-03-04,7,Retiro,C,1930
2024-03-04,7,Retiro E,E,272
2024-03-04,7,Rio de Janeiro,A,682
2024-03-04,7,Rosas,B,2957
2024-03-04,7,Saenz Pena ,A,201
2024-03-04,7,San Jose,E,204
2024-03-04,7,San Juan,C,169
2024-03-04,7,San Pedrito,A,2847
2024-03-04,7,Santa Fe,H,562
2024-03-04,7,Tronador,B,289
2024-03-04,7,Urquiza,E,338
2024-03-04,7,Uruguay,B,208
2024-03-04,7,Varela,E,261
2024-03-04,7,Venezuela,H,375
2024-03-04,8,9 de julio,D,2
2024-03-04,8,Acoyte,A,1197
2024-03-04,8,Alberti,A,156
2024-03-04,8,Angel Gallardo,B,1095
2024-03-04,8,Avenida La Plata,E,615
2024-03-04,8,Avenida de Mayo,C,97
2024-03-04,8,Boedo,E,476
2024-03-04,8,Bolivar,E,95
2024-03-04,8,Bulnes,D,1
2024-03-04,8,Callao,D,12
2024-03-04,8,Callao.B,B,454
2024-03-04,8,Carabobo,A,1192
2024-03-04,8,Carlos Gardel,B,375
2024-03-04,8,Carlos Pellegrini,B,432
2024-03-04,8,Caseros,H,509
2024-03-04,8,Castro Barros,A,710
2024-03-04,8,Catalinas,E,35
2024-03-04,8,Congreso,A,458
2024-03-04,8,Congreso de Tucuman,D,2
2024-03-04,8,Constitucion,C,11135
2024-03-04,8,Cordoba,H,361
2024-03-04,8,Correo Central,E,141
2024-03-04,8,Corrientes,H,177
2024-03-04,8,Diagonal Norte,C,65
2024-03-04,8,Dorrego,B,941
2024-03-04,8,Echeverria,B,828
2024-03-04,8,Emilio Mitre,E,610
2024-03-04,8,Entre Rios,E,330
2024-03-04,8,Facultad de Derecho,H,82
2024-03-04,8,Federico Lacroze,B,2983
2024-03-04,8,Flores,A,1435
2024-03-04,8,Florida,B,128
2024-03-04,8,General San Martin,C,77
2024-03-04,8,Hospitales,H,1929
2024-03-04,8,Humberto I,H,461
2024-03-04,8,Inclan,H,460
2024-03-04,8,Independencia,C,309
2024-03-04,8,Independencia.H,E,186
2024-03-04,8,Jose Maria Moreno,E,537
2024-03-04,8,Jujuy,E,213
2024-03-04,8,Juramento,D,1
2024-03-04,8,Las Heras,H,417
2024-03-04,8,Lavalle,C,99
2024-03-04,8,Leandro N. Alem,B,768
2024-03-04,8,Lima,A,211
2024-03-04,8,Loria,A,492
2024-03-04,8,Los Incas,B,882
2024-03-04,8,Malabia,B,1397
2024-03-04,8,Mariano Moreno,C,96
2024-03-04,8,Medalla Milagrosa,E,286
2024-03-04,8,Medrano,B,989
2024-03-04,8,Ministro Carranza,D,2
2024-03-04,8,Olleros,D,1
2024-03-04,8,Once,H,1035
2024-03-04,8,Pasco,A,149
2024-03-04,8,Pasteur,B,329
2024-03-04,8,Patricios,H,873
2024-03-04,8,Peru,A,103
2024-03-04,8,Pichincha,E,249
2024-03-04,8,Piedras,A,113
2024-03-04,8,Plaza Miserere,A,1578
2024-03-04,8,Plaza de Mayo,A,459
2024-03-04,8,Primera Junta,A,1608
2024-03-04,8,Puan,A,757
2024-03-04,8,Pueyrredon,B,655
2024-03-04,8,Pueyrredon.D,D,1
2024-03-04,8,Pza. de los Virreyes,E,1268
2024-03-04,8,Retiro,C,2618
2024-03-04,8,Retiro E,E,506
2024-03-04,8,Rio de Janeiro,A,1008
2024-03-04,8,Rosas,B,3598
2024-03-04,8,Saenz Pena ,A,233
2024-03-04,8,San Jose,E,190
2024-03-04,8,San Juan,C,201
2024-03-04,8,San Pedrito,A,3459
2024-03-04,8,Santa Fe,H,691
2024-03-04,8,Tronador,B,398
2024-03-04,8,Urquiza,E,425
2024-03-04,8,Uruguay,B,275
2024-03-04,8,Varela,E,294
2024-03-04,8,Venezuela,H,456
2024-03-04,9,9 de julio,D,2
2024-03-04,9,Acoyte,A,930
2024-03-04,9,Alberti,A,164
2024-03-04,9,Angel Gallardo,B,935
2024-03-04,9,Avenida La Plata,E,455
2024-03-04,9,Avenida de Mayo,C,149
2024-03-04,9,Boedo,E,361
2024-03-04,9,Bolivar,E,116
2024-03-04,9,Callao,D,5
2024-03-04,9,Callao.B,B,438
2024-03-04,9,Carabobo,A,802
2024-03-04,9,Carlos Gardel,B,403
2024-03-04,9,Carlos Pellegrini,B,463
2024-03-04,9,Caseros,H,387
2024-03-04,9,Castro Barros,A,602
2024-03-04,9,Catalinas,E,61
2024-03-04,9,Catedral,D,1
2024-03-04,9,Congreso,A,447
2024-03-04,9,Constitucion,C,6855
2024-03-04,9,Cordoba,H,301
2024-03-04,9,Correo Central,E,130
2024-03-04,9,Corrientes,H,134
2024-03-04,9,Diagonal Norte,C,68
2024-03-04,9,Dorrego,B,760
2024-03-04,9,Echeverria,B,427
2024-03-04,9,Emilio Mitre,E,395
2024-03-04,9,Entre Rios,E,260
2024-03-04,9,Facultad de Derecho,H,125
2024-03-04,9,Federico Lacroze,B,2490
2024-03-04,9,Flores,A,906
2024-03-04,9,Florida,B,185
2024-03-04,9,General San Martin,C,96
2024-03-04,9,Hospitales,H,1135
2024-03-04,9,Humberto I,H,366
2024-03-04,9,Inclan,H,357
2024-03-04,9,Independencia,C,248
2024-03-04,9,Independencia.H,E,163
2024-03-04,9,Jose Maria Moreno,E,413
2024-03-04,9,Jujuy,E,165
2024-03-04,9,Juramento,D,1
2024-03-04,9,Las Heras,H,370
2024-03-04,9,Lavalle,C,131
2024-03-04,9,Leandro N. Alem,B,622
2024-03-04,9,Lima,A,218
2024-03-04,9,Loria,A,488
2024-03-04,9,Los Incas,B,678
2024-03-04,9,Malabia,B,1124
2024-03-04,9,Mariano Moreno,C,105
2024-03-04,9,Medalla Milagrosa,E,192
2024-03-04,9,Medrano,B,932
2024-03-04,9,Ministro Carranza,D,2
2024-03-04,9,Once,H,799
2024-03-04,9,Pasco,A,149
2024-03-04,9,Pasteur,B,343
2024-03-04,9,Patricios,H,565
2024-03-04,9,Peru,A,112
2024-03-04,9,Pichincha,E,189
2024-03-04,9,Piedras,A,115
2024-03-04,9,Plaza Miserere,A,1514
2024-03-04,9,Plaza de Mayo,A,384
2024-03-04,9,Primera Junta,A,1147
2024-03-04,9,Puan,A,575
2024-03-04,9,Pueyrredon,B,597
2024-03-04,9,Pueyrredon.D,D,4
2024-03-04,9,Pza. de los Virreyes,E,698
2024-03-04,9,Retiro,C,2373
2024-03-04,9,Retiro E,E,493
2024-03-04,9,Rio de Janeiro,A,766
2024-03-04,9,Rosas,B,2343
2024-03-04,9,Saenz Pena ,A,244
2024-03-04,9,San Jose,E,124
2024-03-04,9,San Juan,C,218
2024-03-04,9,San Pedrito,A,2145
2024-03-04,9,Santa Fe,H,619
2024-03-04,9,Tronador,B,273
2024-03-04,9,Urquiza,E,234
2024-03-04,9,Uruguay,B,350
2024-03-04,9,Varela,E,197
2024-03-04,9,Venezuela,H,373
2024-03-04,10,9 de julio,D,8
2024-03-04,10,Acoyte,A,676
2024-03-04,10,Alberti,A,176
2024-03-04,10,Angel Gallardo,B,732
2024-03-04,10,Avenida La Plata,E,259
2024-03-04,10,Avenida de Mayo,C,182
2024-03-04,10,Boedo,E,238
2024-03-04,10,Bolivar,E,197
2024-03-04,10,Callao,D,5
2024-03-04,10,Callao.B,B,588
2024-03-04,10,Carabobo,A,554
2024-03-04,10,Carlos Gardel,B,389
2024-03-04,10,Carlos Pellegrini,B,552
2024-03-04,10,Caseros,H,309
2024-03-04,10,Castro Barros,A,425
2024-03-04,10,Catalinas,E,66
2024-03-04,10,Congreso,A,449
2024-03-04,10,Constitucion,C,4032
2024-03-04,10,Cordoba,H,348
2024-03-04,10,Correo Central,E,120
2024-03-04,10,Corrientes,H,165
2024-03-04,10,Diagonal Norte,C,129
2024-03-04,10,Dorrego,B,533
2024-03-04,10,Echeverria,B,265
2024-03-04,10,Emilio Mitre,E,219
2024-03-04,10,Entre Rios,E,209
2024-03-04,10,Facultad de Derecho,H,180
2024-03-04,10,Federico Lacroze,B,1451
2024-03-04,10,Flores,A,568
2024-03-04,10,Florida,B,377
2024-03-04,10,General San Martin,C,131
2024-03-04,10,Hospitales,H,649
2024-03-04,10,Humberto I,H,297
2024-03-04,10,Inclan,H,225
2024-03-04,10,Independencia,C,185
