date,hour,station,line,pax_TOTAL
2024-03-01,6,Pueyrredon,B,242
2024-03-01,6,Pza. de los Virreyes,E,492
2024-03-01,6,Retiro,C,903
2024-03-01,6,Retiro E,E,104
2024-03-01,6,Rio de Janeiro,A,162
2024-03-01,6,Rosas,B,1087
2024-03-01,6,Saenz Pena ,A,74
2024-03-01,6,San Jose,E,58
2024-03-01,6,San Juan,C,54
2024-03-01,6,San Pedrito,A,889
2024-03-01,6,Santa Fe,H,124
2024-03-01,6,Scalabrini Ortiz,D,1
2024-03-01,6,Tronador,B,98
2024-03-01,6,Urquiza,E,120
2024-03-01,6,Uruguay,B,87
2024-03-01,6,Varela,E,93
2024-03-01,6,Venezuela,H,131
2024-03-01,7,Acoyte,A,758
2024-03-01,7,Alberti,A,169
2024-03-01,7,Angel Gallardo,B,729
2024-03-01,7,Avenida La Plata,E,447
2024-03-01,7,Avenida de Mayo,C,99
2024-03-01,7,Boedo,E,318
2024-03-01,7,Bolivar,E,97
2024-03-01,7,Callao.B,B,351
2024-03-01,7,Carabobo,A,821
2024-03-01,7,Carlos Gardel,B,302
2024-03-01,7,Carlos Pellegrini,B,349
2024-03-01,7,Caseros,H,444
2024-03-01,7,Castro Barros,A,486
2024-03-01,7,Catalinas,E,23
2024-03-01,7,Congreso,A,355
2024-03-01,7,Constitucion,C,8041
2024-03-01,7,Cordoba,H,234
2024-03-01,7,Correo Central,E,144
2024-03-01,7,Corrientes,H,114
2024-03-01,7,Diagonal Norte,C,47
2024-03-01,7,Dorrego,B,543
2024-03-01,7,Echeverria,B,459
2024-03-01,7,Emilio Mitre,E,334
2024-03-01,7,Entre Rios,E,225
2024-03-01,7,Facultad de Derecho,H,60
2024-03-01,7,Federico Lacroze,B,1978
2024-03-01,7,Flores,A,1028
2024-03-01,7,Florida,B,90
2024-03-01,7,General Belgrano,E,117
2024-03-01,7,General San Martin,C,74
2024-03-01,7,Hospitales,H,1858
2024-03-01,7,Humberto I,H,403
2024-03-01,7,Inclan,H,415
2024-03-01,7,Independencia,C,238
2024-03-01,7,Independencia.H,E,136
2024-03-01,7,Jose Maria Moreno,E,346
2024-03-01,7,Jujuy,E,147
2024-03-01,7,Juramento,D,1
2024-03-01,7,Las Heras,H,348
2024-03-01,7,Lavalle,C,67
2024-03-01,7,Leandro N. Alem,B,745
2024-03-01,7,Lima,A,173
2024-03-01,7,Loria,A,437
2024-03-01,7,Los Incas,B,600
2024-03-01,7,Malabia,B,789
2024-03-01,7,Mariano Moreno,C,74
2024-03-01,7,Medalla Milagrosa,E,169
2024-03-01,7,Medrano,B,727
2024-03-01,7,Ministro Carranza,D,4
2024-03-01,7,Once,H,722
